Date,101STM,102STM,103STM,104STM,105STM,106STM,107STM,108STM,109STM,110STM,115STM,116STM,117STM,WOR
2017-03-02,5837.274835,6282.599457,5169.068247,7273.449583,9998.516648,8158.302118,5557.922653,7557.211624,5261.529279,7097.405578,4020.272353,7985.860924,2795.754446,2.798086642
2017-03-03,6015.142165,6562.921987,5049.965428,7006.329816,9312.745717,7839.130791,5133.81146,7069.787596,5247.258619,7093.24729,3905.879355,7435.67762,2771.736351,2.831155817
2017-03-04,5844.470972,6378.957765,5662.236629,6790.29052,8461.631533,7508.065925,4606.753775,6459.927345,5248.111039,7112.930888,3763.472331,6750.210303,2790.046052,2.86620304
2017-03-05,5107.19862,5578.186288,6934.737125,7071.878834,9020.789121,7668.576293,4952.081733,6854.625457,5247.03587,7122.330171,3856.359501,7197.083787,2803.954673,2.783741086
2017-03-06,4548.961252,4974.048081,7410.367622,7240.633167,9484.644225,7690.343987,5250.183125,7093.862753,5247.359297,7119.253453,3937.123452,7579.923571,2788.724489,2.847775105
2017-03-07,4934.224661,5355.362839,7295.790925,7119.874721,8169.728632,6635.06018,4235.850071,5907.503342,5239.129205,7117.743244,3663.283353,6226.497087,2699.926925,2.884517352
2017-03-08,5878.806202,6351.152237,5354.592617,5080.810768,8511.85551,6845.231131,4904.995849,6216.570219,5222.79675,7041.151494,3775.770646,6692.495071,2740.102043,2.746018433
2017-03-09,6039.772973,6591.569489,4996.229834,4708.266902,9311.65501,7200.012078,6064.902843,6877.116718,5232.464805,6873.893321,3969.539362,7811.921083,2899.514762,2.778292725
2017-03-10,5887.746757,6482.556571,6918.661364,6716.903917,9090.534768,6612.567213,5776.803531,6426.256758,5248.526608,6785.223479,3818.976794,7436.272836,2880.507562,2.810327694
2017-03-11,6197.666028,6812.410397,6909.938722,6718.826295,9248.716622,6740.56829,5883.218349,6554.289401,5138.80379,6638.565492,3827.896115,7589.566737,2702.010918,2.798497906
2017-03-12,6062.984348,7010.434506,6896.0723,6711.925406,9018.577885,6716.676681,5868.390999,6538.52517,5135.976397,6617.019562,3887.903791,7567.708004,2696.004876,2.841678135
